2019-12-09 20:10:02,293
2019-12-09 20:20:01,292
2019-12-09 20:30:05,290
2019-12-09 21:40:02,289
2019-12-09 22:20:02,287
2019-12-09 23:00:01,286
2019-12-09 23:40:02,285
2019-12-10 01:20:02,284
2019-12-10 02:00:02,283
2019-12-10 09:00:01,282
2019-12-10 10:00:02,281
2019-12-10 13:00:01,280
2019-12-10 16:20:01,279
2019-12-10 19:00:01,277
2019-12-10 19:40:05,276
2019-12-10 20:00:02,275
2019-12-10 20:20:01,274
2019-12-10 22:20:01,273
2019-12-10 22:59:09,272
2019-12-10 23:20:02,271
2019-12-10 23:40:02,269
2019-12-11 00:00:01,268
2019-12-11 02:00:01,267
2019-12-11 09:00:01,266
2019-12-11 09:20:01,265
2019-12-11 10:40:01,263
2019-12-11 11:00:02,262
2019-12-11 14:40:02,261
2019-12-11 19:20:02,260
2019-12-11 19:40:02,259
2019-12-11 20:00:01,257
2019-12-11 20:20:01,256
2019-12-11 20:40:04,255
2019-12-11 21:00:01,254
2019-12-11 22:00:02,253
2019-12-11 22:20:02,252
2019-12-11 23:00:02,251
2019-12-11 23:20:01,249
2019-12-11 23:40:02,246
2019-12-12 00:00:02,245
2019-12-12 07:40:01,244
2019-12-12 08:00:01,243
2019-12-12 11:00:02,242
2019-12-12 11:40:02,241
2019-12-12 12:20:02,240
